Wall time,Step,Value
1746611482.8155174,0,-79766.2890625
1746611485.5961163,1,-76465.84375
1746611490.073522,2,-75195.15625
1746611494.6891437,3,-62518.57421875
1746611499.2391355,4,-42959.26171875
1746611503.784575,5,-32245.517578125
1746611508.398318,6,-13349.4814453125
1746611512.9627216,7,-13406.4423828125
1746611517.5106635,8,-10806.708984375
1746611522.104977,9,-12910.84765625
1746611526.82884,10,-11976.544921875
1746611531.3538296,11,-16062.310546875
1746611535.7989485,12,-12050.5234375
1746611540.4338188,13,-17542.740234375
1746611544.8769743,14,-9352.2919921875
1746611549.4587038,15,-8513.5947265625
1746611554.0364406,16,-10704.5458984375
1746611558.599959,17,-9681.0341796875
1746611563.14979,18,-9792.318359375
1746611567.7261178,19,-11472.1591796875
1746611572.2992778,20,-9960.537109375
1746611576.9195373,21,-10538.0263671875
1746611581.5012,22,-8666.91015625
1746611586.0573936,23,-12062.4345703125
1746611590.6479006,24,-7915.6123046875
1746611595.2556653,25,-8878.525390625
1746611599.8716164,26,-7145.7412109375
1746611604.461258,27,-4405.4560546875
1746611609.1414063,28,-6313.078125
1746611613.7235265,29,-4086.27490234375
1746611618.3388126,30,-4656.375
1746611622.9610064,31,-7033.1650390625
1746611627.7157948,32,-4487.48779296875
1746611632.304129,33,-5409.5498046875
1746611636.9305768,34,-5879.021484375
1746611641.460053,35,-4890.00732421875
1746611646.0520968,36,-3035.93359375
1746611650.5342855,37,-3596.7255859375
1746611655.0608914,38,-3594.97509765625
1746611659.6339653,39,-3826.68310546875
1746611664.1644294,40,-3959.36865234375
1746611668.6864142,41,-3589.32275390625
1746611673.2490125,42,-3965.351318359375
1746611677.827296,43,-3866.57763671875
1746611682.3564923,44,-3677.5224609375
1746611686.8361807,45,-6602.13427734375
1746611691.4412875,46,-5167.2587890625
1746611696.01115,47,-4329.09716796875
1746611700.5418696,48,-4302.34033203125
1746611705.114855,49,-3999.5986328125
1746611709.6631954,50,-3943.241455078125
1746611714.2393556,51,-2983.288818359375
1746611714.5601554,52,749.6240234375
